sheet,categoria,score,nome_azienda,telefono,regione,citta,sito_web,instagram,linkedin,email
TEST-2026-04-29,Ottimale,90.0,Costruzioni Rossi Srl,+39 055 123456,Toscana,Firenze,www.rossicostruzioni.it,,,
TEST-2026-04-29,Alto,65.0,Edilizia Bianchi,+39 051 654321,Emilia-Romagna,Bologna,,,,
2026-04-28,Ottimale,100,AT Servizi - Impresa edile ristrutturazioni casa firenze,339 544 6417,Toscana,Firenze,http://www.atservizi.eu/,,,
2026-04-28,Ottimale,100,RISTRUTTURAZIONI FIRENZE GMA SRL,055 013 1722,Toscana,Firenze,https://www.gmaedile.it/,,,
2026-04-28,Ottimale,100,Edil TB – Impresa Edile e Ristrutturazioni a Firenze,345 214 8015,Toscana,Firenze,https://ediltb.it/,https://www.instagram.com/edil.tb,,
2026-04-28,Ottimale,100,Impresa Edile Firenze - Edil Idraulica Srls,331 750 0272,Toscana,Firenze,https://www.edilidraulicasrls.it/,,,
2026-04-28,Ottimale,100,LF Impresa Edile di Lama Fatjon,055 389 3230,Toscana,Firenze,https://www.impresaedilelf.it/,,,
2026-04-28,Ottimale,100,Edil Bullari - Impresa Edile,328 458 4134,Toscana,Firenze,https://www.edilbullari.com/,,,
2026-04-28,Ottimale,100,MG Eurocostruzioni,327 042 3644,Toscana,Firenze,https://www.mgeurocostruzioni.it/,,,
2026-04-28,Ottimale,100,Gruppo Zenith | Ristrutturazioni Chiavi in mano,055 010 8794,Toscana,Firenze,https://www.gruppozenithome.com/,https://www.instagram.com/gruppo_zenith_home,https://www.linkedin.com/company/gruppo-zenith,
2026-04-28,Ottimale,100,GEMI edilizia & impianti,333 577 5895,Toscana,Firenze,http://www.gemiediliziaimpianti.it/,,,
2026-04-28,Ottimale,100,Gavilli Impianti Elettrici e Tecnologici,328 874 2244,Toscana,Firenze,http://www.gavilli-impianti.it/,https://www.instagram.com/gavilli_impianti,,
2026-04-28,Ottimale,100,F.A. Elettric Srl - Impianti Elettrici Firenze,055 010 7881,Toscana,Firenze,https://www.faelettric.it/,,,
2026-04-28,Ottimale,100,Tecnika Firenze | Progettazione & Design - Consulenza Immobiliare - Ristrutturazioni,055 538 7458,Toscana,Firenze,https://tecnikafirenze.it/,https://www.instagram.com/tecnika_firenze,https://www.linkedin.com/company/tecnikafirenze,
2026-04-28,Ottimale,100,DNA TecnoServizi & Ristrutturazioni,06 9604 0202,Toscana,Firenze,http://www.dnatecnoservizi.it/,,,
2026-04-28,Ottimale,90,Impresa edile Moretti Fabio SRL,335 819 3862,Toscana,Firenze,https://impresaedilemorettifabio.it/,,,
2026-04-28,Ottimale,90,MAC SERVICE COSTRUZIONI,055 098 4493,Toscana,Firenze,https://macservicecostruzioni.it/,https://www.instagram.com/mac_service_costruzioni,,
2026-04-28,Ottimale,90,Edilselmani Impresa Edile,333 523 4123,Toscana,Firenze,https://impresaedileselmani.it/,https://www.instagram.com/impresaselmani,,
2026-04-28,Ottimale,90,Toscana Costruzioni Srl,327 869 4000,Toscana,Firenze,https://toscanacostruzioni.com/,,,
2026-04-28,Ottimale,90,DFC Edilizia 360,327 206 2990,Toscana,Firenze,https://www.facebook.com/DFC-Edilizia-360-113061420828516/?ref=page_internal,,,
2026-04-28,Ottimale,90,Fiorentina Costruzioni Srl,055 432712,Toscana,Firenze,https://www.fiorentinacostruzioni.it/,,,
2026-04-28,Ottimale,90,Sufa Costruzioni S.n.c.,055 010 7382,Toscana,Firenze,http://www.sufacostruzioni.it/,,,
2026-04-28,Ottimale,90,EDIL STORE SRL Edilizia Avanzata e Servizi Integrati - STAFFERIA PER CANTIERE,055 783290,Toscana,Firenze,http://www.edilstore.eu/,,,
2026-04-28,Ottimale,90,Costruzioni MCM,339 750 6945,Toscana,Firenze,https://644259450aa5c.site123.me/,,,
2026-04-28,Ottimale,90,Braconi Costruzioni S.R.L.,055 899 8219,Toscana,Firenze,http://www.braconicostruzioni.it/,,,
2026-04-28,Ottimale,85,ImpresaEdile360 sas,,Toscana,Firenze,https://impresaedile360.it/,,,
2026-04-28,Ottimale,85,Tuscan Creative Interior,055 659 3542,Toscana,Firenze,https://www.tuscancreative.it/it/home/,https://www.instagram.com/tuscancreative_interiordesign,,
2026-04-28,Ottimale,85,MP immobiliare srl,335 662 8812,Toscana,Firenze,http://www.gruppompcostruzioni.it/,,,
2026-04-28,Ottimale,85,ITF Srl,055 936 2950,Toscana,Firenze,http://www.itfsrl.it/,https://www.instagram.com/itfsrl,,
2026-04-28,Ottimale,85,Socci Andrea - New Energy Solution,055 933 4467,Toscana,Firenze,https://www.newenergysolution.it/servizi/,,,
2026-04-28,Ottimale,85,Intec S.r.l.,055 422 0023,Toscana,Firenze,https://www.intecsrl.info/,,,
2026-04-28,Ottimale,85,BRACCINI & CARDINI S.R.L.,055 433718,Toscana,Firenze,http://impiantieprogetti.net/,,,
2026-04-28,Ottimale,85,Idraulico Salvatore Firenze - Pronto Intervento 24 H,389 129 1878,Toscana,Firenze,https://www.salvatoreidraulicofirenze.com/,,,
2026-04-28,Ottimale,85,ELETTRICISTA BS FIRENZE 24ORE,338 635 0621,Toscana,Firenze,http://www.elettricistabsfirenze.it/,,,
2026-04-28,Ottimale,80,Impresa Edile Edil-Ricciardi,055 328 9178,Toscana,Firenze,http://www.impresaedilericciardi.it/,,,
2026-04-28,Ottimale,80,Firenze Ristrutturazioni,340 488 6898,Toscana,Firenze,http://www.firenzeristrutturazioni.it/,https://www.instagram.com/architetto_vincenzo_bennardi,,
2026-04-28,Ottimale,80,Martin Costruzioni Edili,327 869 3934,Toscana,Firenze,https://costruzioniedilimartin.it/,,,
2026-04-28,Ottimale,80,CRV Edilizia,055 611089,Toscana,Firenze,http://www.crvedilizia.it/,https://www.instagram.com/crvediliziafirenze,,
2026-04-28,Ottimale,80,BONANNO F.LLI Costruzioni Edili Srl,055 785426,Toscana,Firenze,http://www.bonannoflli.it/,,,
2026-04-28,Ottimale,80,Italkostruzioni - Progettazione & Ristrutturazioni Edilizie,329 183 8630,Toscana,Firenze,https://ybcostruzioni.it/,,,
2026-04-28,Ottimale,80,La Marmora Costruzioni S.r.l.,331 307 1604,Toscana,Firenze,http://www.lamarmoracostruzioni.it/,,,
2026-04-28,Ottimale,80,Impresa Edile Kastriot,340 412 0076,Toscana,Firenze,https://www.impresaedilekastriot.it/,https://www.instagram.com/explore,,
2026-04-28,Ottimale,80,ecostrutture s.r.l. - general contractor / impresa edile / ristrutturazioni / case ecologiche / muratore,388 347 5228,Toscana,Firenze,https://www.ecostrutturesrl.com/,,,
2026-04-28,Ottimale,80,Impresa Edile Martelli Giuliano,055 535 4570,Toscana,Firenze,https://www.martelligiuliano.it/,,,
2026-04-28,Ottimale,80,studio Ar.Co. impresa edile,055 535 1601,Toscana,Firenze,http://www.arcoimpresaedile.it/,,,
2026-04-28,Ottimale,80,Tosca Srl-Edilizia-Impianti-General Contractor,055 612 1290,Toscana,Firenze,https://www.toscacostruzioni.it/,,,
2026-04-28,Ottimale,80,MK Restauri e Costruzioni Edili,331 438 2462,Toscana,Firenze,http://mkedilizia.com/,https://www.instagram.com/mk_costruzioni,,
2026-04-28,Ottimale,80,HRC Costruzioni,347 032 8636,Toscana,Firenze,https://www.hrc-costruzioni.it/,,,
2026-04-28,Ottimale,80,Emmeeffe Costruzioni Srl,055 200 8900,Toscana,Firenze,http://www.emmeeffecostruzioni.it/,,,
2026-04-28,Ottimale,80,Gis Firenze Impianti Elettrici,055 680 2625,Toscana,Firenze,https://www.gisfirenzeimpiantielettrici.com/,,,
2026-04-28,Ottimale,80,CREA Srl General Contractor Ristrutturazioni,055 986 8185,Toscana,Firenze,http://www.crea.srl/,,,
2026-04-28,Ottimale,80,Giusti Costruzioni Srl,055 895 3556,Toscana,Firenze,http://www.giusticostruzioni.it/,,,
2026-04-28,Ottimale,80,Edilizia Alternativa,800 035 181,Toscana,Firenze,https://edilizialternativa.it/,https://www.instagram.com/edilizialternativa,https://www.linkedin.com/company/edilizia-alternativa,
2026-04-28,Ottimale,80,BL Ristrutturazioni,338 286 9333,Toscana,Firenze,http://blristrutturazioni.it/,,,
2026-04-28,Ottimale,80,Ciacci Restauri e Costuzioni impresa edile,347 856 8578,Toscana,Firenze,https://www.impresaedileciaccirestauri.it/,,,
2026-04-28,Ottimale,75,ARTECASA S.R.L.,333 316 0772,Toscana,Firenze,https://www.artecasadirizzo.it/,,,
2026-04-28,Ottimale,75,Iris Costruzioni S.R.L.,055 246 6242,Toscana,Firenze,http://www.iriscostruzioni.it/,,,
2026-04-28,Alto,70,La Firenze Lavori Srl,055 897 9061,Toscana,Firenze,http://www.lafirenzelavori.it/,https://www.instagram.com/firenzelavori,https://www.linkedin.com/company/firenze-lavori,
2026-04-28,Alto,65,Edil Standard S.r.l.s,353 447 4823,Toscana,Firenze,http://www.edilstandardtoscana.com/,,,
2026-04-28,Alto,65,Leonardo Edil,353 394 3897,Toscana,Firenze,https://leonardoedil.com/,,,
2026-04-28,Alto,65,Edil Somigli Srl,055 682 1233,Toscana,Firenze,http://www.edilsomigli.com/,,,
2026-04-28,Alto,65,SESE Srl,055 553 5306,Toscana,Firenze,http://www.sese.it/,https://instagram.com/sesedilizia,,
2026-04-28,Alto,65,Moresi Edilimmobili Srl,335 404 801,Toscana,Firenze,http://moresiedilimmobili.it/,,,
2026-04-28,Alto,65,Eredi Di E. Capecchi Srl,055 422 3438,Toscana,Firenze,https://www.eredicapecchi.it/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,
2026-04-28,Alto,65,Iniziative Edili S.r.l.,055 718 9225,Toscana,Firenze,http://www.cacciamani.it/,,https://www.linkedin.com/in/marzio-cacciamani-8b1b9743,
2026-04-28,Alto,65,F.G. Costruzione e Restauro,333 481 0587,Toscana,Firenze,https://www.fgcostruzionerestauro.com/,,,
2026-04-28,Alto,65,Querci G&G Termoidraulica Idraulico Climatizzazione Solare Termico,339 723 2023,Toscana,Firenze,,,,
2026-04-28,Alto,65,Fratelli Restauri,329 589 3200,Toscana,Firenze,https://www.fratellirestauri.it/,,,
2026-04-28,Alto,65,Edil D’Oro & Figlio srl,368 685 454,Toscana,Firenze,https://edildoroefiglio.com/,https://www.instagram.com/edil.doro,,
2026-04-28,Alto,65,Edil Vassallo,345 231 6016,Toscana,Firenze,https://www.edilvassallo.it/,,,
2026-04-28,Alto,65,Figli Di Augusto Lorenzini Srl,055 552 2855,Toscana,Firenze,http://www.lorenzinispa.it/,,,
2026-04-28,Alto,65,Erti Restauri Edili,320 305 2786,Toscana,Firenze,https://www.ertiimmobiliareerestaurisrl.com/,,,
2026-04-28,Alto,65,EdilBonaccorso srl,055 880 1917,Toscana,Firenze,http://www.edilbonaccorso.it/,,,
2026-04-28,Alto,65,Zenit Soluzioni Edili,389 888 3634,Toscana,Firenze,https://www.zenitsoluzioni.it/,https://www.instagram.com/zenit__soluzioni,,
2026-04-28,Alto,65,Edilcapezzuoli s.r.l.,055 715728,Toscana,Firenze,http://www.edilcapezzuoli.it/,,,
2026-04-28,Alto,60,Impresa Edile Firenze B.A.I.C.,055 782702,Toscana,Firenze,,,,
2026-04-28,Alto,60,Impresa Edile ALE&ANDRE S.a.s.,320 955 9696,Toscana,Firenze,,,,
2026-04-28,Alto,60,La Rondinella Costruzioni Srl,055 933 6244,Toscana,Firenze,,,,
2026-04-28,Alto,60,Restauro & Costruzioni,055 733 0767,Toscana,Firenze,,,,
2026-04-28,Alto,60,GM IMPIANTI ELETTRICI E MANUTENZIONE,380 630 6613,Toscana,Firenze,,,,
2026-04-28,Alto,60,C.S.S. Srl - Costruzioni Strade Servizi per l'Edilizia,339 585 4136,Toscana,Firenze,,,,
2026-04-28,Alto,60,G.F.C. Lavori Edili Srl,340 630 9715,Toscana,Firenze,,,,
2026-04-28,Alto,60,CAVALLARO - Trasporti - Lavori Edili Stradali - Movimento Terra,055 760 6586,Toscana,Firenze,,,,
2026-04-28,Alto,55,"Impresa Edile & Assistenza H24 Firenze – Idraulico, Elettricista, Condizionatori",324 745 0444,Toscana,Firenze,https://www.edilalbaristrutturazioni.it/,,,
2026-04-30,Ottimale,100.0,Ristrutturazione Moderna S.r.l,349 219 8630,Emilia-Romagna,Modena,https://gratis-4837805.webadorsite.com/,https://instagram.com/ristrutturazione_moderna,,
2026-04-30,Ottimale,100.0,Ristrutturazione Moderna Di Mario Edile,349 219 8630,Emilia-Romagna,Modena,https://gratis-4837805.webadorsite.com/servizi,,,
2026-04-30,Ottimale,100.0,TermoK8 Group - The Green General Contractor,059 838 2803,Emilia-Romagna,Modena,https://www.termok8group.it/,,,
2026-04-30,Ottimale,100.0,AEC COSTRUZIONI,0535 23264,Emilia-Romagna,Modena,http://www.aeccostruzioni.com/,,,
2026-04-30,Ottimale,100.0,S.C.S Impianti,335 715 0312,Emilia-Romagna,Modena,http://scsimpiantimodena.it/,,,
2026-04-30,Ottimale,100.0,Cortese Attilio - Impianti Termoidraulici,339 681 3693,Emilia-Romagna,Modena,http://www.corteseimpianti.it/,,,
2026-04-30,Ottimale,100.0,AG Energy Srl | Impianti Fotovoltaici e Impianti Termoidraulici,059 712 2896,Emilia-Romagna,Modena,https://www.agenergy.it/?utm_source=google&utm_medium=business_profile&utm_campaign=click_sito_web,https://www.instagram.com/ag_energy_srl,https://www.linkedin.com/company/ag-energy-srl,
2026-04-30,Ottimale,100.0,Euroclimatic s.r.l. | Installazione impianti elettrici e idraulici | Modena,059 302622,Emilia-Romagna,Modena,http://www.euroclimatic.it/,,,
2026-04-30,Ottimale,100.0,Modena Impianti Srl,059 525563,Emilia-Romagna,Modena,https://www.modenaimpianti.it/,,,
2026-04-30,Ottimale,90.0,Barbieri Costruzioni S.R.L.,059 239068,Emilia-Romagna,Modena,https://www.barbiericostruzioni.it/,,,
2026-04-30,Ottimale,90.0,Costruzioni Generali Due Srl - Azienda Edile,059 512495,Emilia-Romagna,Modena,http://www.cg2.it/,https://www.instagram.com/costruzionigeneralidue,https://www.linkedin.com/company/costruzioni-generali-due-s-r-l,
2026-04-30,Ottimale,90.0,Euro Al Bek SRL- Ristrutturazioni Modena,327 822 2598,Emilia-Romagna,Modena,https://euroalbekedilizia.it/,,,
2026-04-30,Ottimale,90.0,C2 EDILIZIA SRLS - Ristrutturazioni chiavi in mano,346 306 5889,Emilia-Romagna,Modena,http://www.c2edilizia.it/,https://instagram.com/c2edilizia,,
2026-04-30,Ottimale,90.0,De Lucia Costruzioni,333 790 2395,Emilia-Romagna,Modena,http://www.reteimprese.it/37431,,,
2026-04-30,Ottimale,90.0,Impianti Cr Cattini Roli & C. Snc,059 454505,Emilia-Romagna,Modena,https://www.cattiniroli.it/,,,
2026-04-30,Ottimale,90.0,MC Impianti Tecnologici,059 253953,Emilia-Romagna,Modena,http://www.mcimpianti.mo.it/,,,
2026-04-30,Ottimale,90.0,Costruzioni Bernardoni San Cesario S.r.l.,335 593 3921,Emilia-Romagna,Modena,http://www.costruzionibernardoni.com/,,,
2026-04-30,Ottimale,85.0,Malagoli Matteo,335 872 6839,Emilia-Romagna,Modena,https://www.malagolimatteo.it/,https://www.instagram.com/malagoli_matteo_,,
2026-04-30,Ottimale,85.0,I.T.I. Impresa Generale Spa,059 325611,Emilia-Romagna,Modena,http://www.itispa.com/,https://www.instagram.com/selectthemes,https://www.linkedin.com/company/iti-impresa-generale-spa,
2026-04-30,Ottimale,85.0,Energy di Iacob Ion,389 456 7744,Emilia-Romagna,Modena,https://www.energy-iacob.it/,,,
2026-04-30,Ottimale,85.0,Cavicchioli Termoidraulica,059 613 2119,Emilia-Romagna,Modena,https://www.facebook.com/Cavicchioli-Termoidraulica-284715715386119/,,,
2026-04-30,Ottimale,85.0,Artigian Casa h24 di Misota Ivan - Fabbro Elettricista Idraulico,320 872 0485,Emilia-Romagna,Modena,https://artigian.casa/,https://www.instagram.com/artigian_casa,,
2026-04-30,Ottimale,85.0,Idraulico Modena | Anguzza srl,329 423 9232,Emilia-Romagna,Modena,https://www.anguzzasrl.com/,,,
2026-04-30,Ottimale,85.0,Tecnomat,02 8390 5463,Emilia-Romagna,Modena,https://www.tecnomat.it/it/n/modena/?utm_campaign=MODENA_negozio_GMB&utm_content=sito_web&utm_medium=google_my_business&utm_source=google&utm_term=sito_web_MODENA_GMB,,,
2026-04-30,Ottimale,85.0,Pirazzini S.R.L.,059 251360,Emilia-Romagna,Modena,http://www.pirazziniedilizia.it/,,,
2026-04-30,Ottimale,80.0,Edilcostruzioni Modena,059 848539,Emilia-Romagna,Modena,https://www.edilcostruzioni-mo.it/,,,
2026-04-30,Ottimale,80.0,Impresa Ragazzi - Ditta Edile,059 454612,Emilia-Romagna,Modena,http://impresaragazzi.com/,,,
2026-04-30,Ottimale,80.0,Modena Ristrutturazioni srl,059 714 9512,Emilia-Romagna,Modena,https://www.modenaristrutturazioni.it/,https://www.instagram.com/modenaristrutturazioni,,
2026-04-30,Ottimale,80.0,MT Impresa Edile Modena,327 541 7260,Emilia-Romagna,Modena,http://mtsrls.it/,,,
2026-04-30,Ottimale,80.0,Agati & Carianni - Impresa Edile,333 578 2407,Emilia-Romagna,Modena,https://www.agaticarianni.com/,,,
2026-04-30,Ottimale,80.0,Ristrutturazioni Edili Edilmanfre’,059 250007,Emilia-Romagna,Modena,http://www.edilmanfre.it/,,,
2026-04-30,Ottimale,80.0,Grivetti Restauri s.rl Impresa Edile - Ristrutturazioni; Costruzioni; Appaltatori,059 867 7935,Emilia-Romagna,Modena,http://www.grivettirestauri.it/,,,
2026-04-30,Ottimale,80.0,Impresa Edile San Carlo Srl,059 250420,Emilia-Romagna,Modena,http://www.impresaedilesancarlo.it/,,,
2026-04-30,Ottimale,80.0,SDAM costruzioni SRL,392 934 8347,Emilia-Romagna,Modena,http://www.sdamcostruzioni.com/,,,
2026-04-30,Ottimale,80.0,D.A.M.A.EDILE,327 296 8974,Emilia-Romagna,Modena,http://www.damaedile.net/,https://instagram.com/D.A.M.A,,
2026-04-30,Ottimale,80.0,Imprendo Srl| Impresa edile per ristrutturazioni e riqualificazioni energetiche| Modena| Nonantola,059 714 0803,Emilia-Romagna,Modena,https://www.imprendomodena.it/,https://www.instagram.com/imprendo.srl,,
2026-04-30,Ottimale,80.0,Idealtetti Srl | Impresa edile per impermeabilizzazioni e coperture civili e industriali | Modena,389 797 1050,Emilia-Romagna,Modena,https://www.idealtettisrl.it/,,,
2026-04-30,Ottimale,80.0,SMA - Coperture e Lattonerie in genere,340 315 6868,Emilia-Romagna,Modena,,,,
2026-04-30,Ottimale,80.0,S.A.Co.Gen. Societa' Appalti Costruzioni Generali Srl,059 872 0396,Emilia-Romagna,Modena,http://www.sacogen.com/,https://www.instagram.com/sacogensrl,,
2026-04-30,Ottimale,80.0,RT Costruzioni in acciaio s.r.l.,059 215 6539,Emilia-Romagna,Modena,https://rtcostruzioniinacciaio.com/,,,
2026-04-30,Ottimale,80.0,Di.Co. Bioedilizia,059 283380,Emilia-Romagna,Modena,http://dicobioedilizia.it/,,,
2026-04-30,Ottimale,80.0,M.B. Impianti Di Ferrari Marco,059 395603,Emilia-Romagna,Modena,https://www.mbimpiantimodena.it/,,,
2026-04-30,Ottimale,80.0,I.T. IMPIANTI TECNOLOGICI SRL,059 511052,Emilia-Romagna,Modena,https://itimpiantitecnologici.it/,,,
2026-04-30,Ottimale,80.0,"Nuova Cim - Impianti Elettrici, Idraulici e Solari",059 847247,Emilia-Romagna,Modena,https://www.nuovacim.com/,,,
2026-04-30,Ottimale,80.0,Team impianti di Bianco Walter - Impianti Elettrici Modena,339 686 9730,Emilia-Romagna,Modena,https://teamimpianti.com/,,,
2026-04-30,Ottimale,80.0,"Emil-Tecno | Automazione, Progettazione e Realizzazione Impianti",059 335271,Emilia-Romagna,Modena,https://www.emiltecno.it/,,,
2026-04-30,Ottimale,80.0,A.T. Impianti 2 S.R.L.,059 285308,Emilia-Romagna,Modena,http://www.atimpianti.net/,,,
2026-04-30,Ottimale,80.0,Clima Impianti,059 304470,Emilia-Romagna,Modena,http://climaimpiantisrl.eu/,,,
2026-04-30,Ottimale,80.0,A.M. Impianti Snc Di Ascari C. E Magnani C.,059 441704,Emilia-Romagna,Modena,http://www.amimpianti.com/,,https://www.linkedin.com/company/sicurform,
2026-04-30,Ottimale,80.0,Eco Casa Srl Edilizia Modena - Ristrutturazioni Modena,328 279 2336,Emilia-Romagna,Modena,https://ecocasaedilizia.it/,,,
2026-04-30,Ottimale,80.0,Edil Costruzioni Modenese Srl,059 395799,Emilia-Romagna,Modena,https://edilcostruzionimodenese.it/,,,
2026-04-30,Ottimale,80.0,CASTELFRANCO COSTRUZIONI Srl,059 712 2604,Emilia-Romagna,Modena,https://www.castelfrancocostruzioni.it/,,,
2026-04-30,Ottimale,80.0,059 Costruzioni,339 684 5370,Emilia-Romagna,Modena,https://www.059costruzioni.it/,,,
2026-04-30,Ottimale,75.0,Ambrosoffitti Srl,347 638 3755,Emilia-Romagna,Modena,https://www.ambrosoffitti.com/,,,
2026-04-30,Ottimale,75.0,RM Edil S.r.l.,392 884 9793,Emilia-Romagna,Modena,https://www.rmedil.it/,https://www.instagram.com/rmedilizia,,
2026-04-30,Ottimale,75.0,Mario Neri S.p.A.,059 281600,Emilia-Romagna,Modena,http://www.marioneri.it/,,,
2026-04-30,Ottimale,75.0,Gemmalpe S.r.l.,059 283553,Emilia-Romagna,Modena,http://www.gemmalpe.it/,,,
2026-04-30,Ottimale,75.0,Zeta Service,059 358820,Emilia-Romagna,Modena,http://www.zeta-service.it/,https://www.instagram.com/zetaservice_modena,https://www.linkedin.com/company/zeta-service-modena,
2026-04-30,Ottimale,75.0,Idraulico Modena | Sistema Casa srls,380 208 2483,Emilia-Romagna,Modena,https://ilsistemacasa.it/,,,
2026-04-30,Ottimale,75.0,Edil Arcobaleno S.r.l.,059 526093,Emilia-Romagna,Modena,https://www.edilarcobalenomodena.it/,,,
2026-04-30,Ottimale,75.0,Fea,059 723 7129,Emilia-Romagna,Modena,https://www.feasrl.eu/,,,
2026-04-30,Alto,70.0,Modena impresa edile Un mondo a colori,353 409 5978,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,70.0,Futura costruzioni srl,059 747 0085,Emilia-Romagna,Modena,http://www.futuracostruzionisrl.it/,,,
2026-04-30,Alto,70.0,AMAN IMPIANTI Progettazione e Realizzazione di Impianti ELETTRICI Civili e Industriali. Modena,339 352 6751,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,65.0,Ecodomos srl,346 748 0583,Emilia-Romagna,Modena,http://ecodomos.it/,,,
2026-04-30,Alto,65.0,Edilsand srl,346 798 8937,Emilia-Romagna,Modena,https://www.edilsand.it/,,,
2026-04-30,Alto,65.0,Edil Soraci,339 877 6368,Emilia-Romagna,Modena,https://www.edilsoraci.com/,,,
2026-04-30,Alto,65.0,Impresa Bacchelli,059 333104,Emilia-Romagna,Modena,http://www.impresabacchelli.it/,,,
2026-04-30,Alto,65.0,Cipiemme,331 883 8396,Emilia-Romagna,Modena,https://www.facebook.com/CipiemmeSnc,,,
2026-04-30,Alto,65.0,FEA SRL,059 723 0987,Emilia-Romagna,Modena,http://www.feasrl.eu/,,,
2026-04-30,Alto,65.0,Bolena Group Srl,338 223 9258,Emilia-Romagna,Modena,https://www.bolenagroup.it/,,,
2026-04-30,Alto,65.0,Emmevi,059 216144,Emilia-Romagna,Modena,https://www.emmevimodena.it/,,,
2026-04-30,Alto,65.0,EFEN Srl Modena,059 826855,Emilia-Romagna,Modena,http://www.efen.it/,,,
2026-04-30,Alto,65.0,SIR97Srl,333 689 7552,Emilia-Romagna,Modena,http://www.sir97srl.it/,,,
2026-04-30,Alto,65.0,Edil G.P. Modenese Di Pacchiano Giuseppe,059 334793,Emilia-Romagna,Modena,http://www.edilgplamodenese.com/,,,
2026-04-30,Alto,65.0,T.M. di Tomei Marco,059 451669,Emilia-Romagna,Modena,http://www.tomei.it/,,,
2026-04-30,Alto,65.0,Frugeri Danilo Srl,059 549338,Emilia-Romagna,Modena,https://www.frugeridanilo.it/,,,
2026-04-30,Alto,65.0,MP Restauri,346 732 3823,Emilia-Romagna,Modena,https://www.mprestaurisrl.it/,,,
2026-04-30,Alto,65.0,Cme Consorzio Imprenditori Edili Soc. Coop. R. L.,059 252503,Emilia-Romagna,Modena,https://www.cmeconsorzio.it/,,https://www.linkedin.com/company/cme-consorzio-imprenditori-edili-societa,
2026-04-30,Alto,60.0,Edil Romiti di Romiti Emilio - Impresa Edile Modena - Potatura Modena Edil Romiti,335 375 502,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,Edil-Costruzioni Srl,059 260516,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,"RIGHI Cav. Enea- progettazione impianti elettrici,idraulici,fotovoltaici e condizionamento",059 451255,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,T.s.t. Impianti Srl,059 281260,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,S.c. Impianti S.r.l.,059 450145,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,Poppi Elettricista Idraulico Riparazioni Impianti,059 230369,Emilia-Romagna,Modena,,,,
2026-04-30,Alto,60.0,Matimpianti di Marotta Francesco,320 221 7737,Emilia-Romagna,Modena,,,,
